step,timestamp,bacterium_id,x,y,z,energy_level,fitness,age,generation,neighbors_count,atp_level,size,mass,md_interactions,genetic_operations,ai_decisions
727,1749064622.1367598,0,503.42897777751097,162.0439804332885,23.647913574050744,99.95327240599548,0.95,72.80000000000014,0,12,65.43256863684557,0.3706377704579162,1e-15,0,0,0
727,1749064622.1367598,1,472.6352132754555,352.33799043499715,45.20926400588523,100,0.95,72.80000000000014,0,18,67.54485275844824,0.5254049771549169,1e-15,0,0,0
727,1749064622.1367598,2,591.7218568354145,470.426878198274,39.58300881167113,100,0.95,72.80000000000014,0,16,66.40904474417248,0.424058246953673,1e-15,0,0,0
727,1749064622.1367598,3,764.3334732166032,185.30002939484734,15.830953253672027,100,0.95,72.80000000000014,0,8,64.90520240421108,0.6891367055388955,1e-15,0,0,0
727,1749064622.1367598,4,461.3777318489983,363.55495741787223,17.316270609911186,99.9378204661249,0.95,72.80000000000014,0,17,72.75968536601137,0.6103483087675149,1e-15,0,0,0
727,1749064622.1367598,5,57.59507493611602,213.45243304652948,12.832154143380578,97.58580018349697,0.95,72.80000000000014,0,8,64.55584948809236,0.39438802387644645,1e-15,0,0,0
727,1749064622.1367598,6,327.42383553183214,571.662411955669,37.0349024298727,99.25961455186568,0.95,72.80000000000014,0,11,67.80203436485782,0.4427648679721232,1e-15,0,0,0
727,1749064622.1367598,7,242.17350815675766,404.00472886143694,37.12740014440679,99.39430585629735,0.95,72.80000000000014,0,5,71.18384738266106,0.43757658307390407,1e-15,0,0,0
727,1749064622.1367598,8,501.65176954907906,135.78288793089197,46.08488355153093,100,0.95,72.80000000000014,0,13,72.10249688355589,0.4529273255110602,1e-15,0,0,0
727,1749064622.1367598,9,366.06641483053534,264.01621212415375,11.322533374876155,100,0.95,72.80000000000014,0,11,68.49436219543593,0.747330246949604,1e-15,0,0,0
727,1749064622.1367598,10,620.4580788805596,433.3361229841533,28.547103989308894,100,0.95,72.80000000000014,0,15,64.91170577745729,0.7159274336852015,1e-15,0,0,0
727,1749064622.1367598,11,400.49110247329327,320.63523793545755,13.243083589954047,99.51899125727448,0.95,72.80000000000014,0,4,71.68559736032307,0.5966618091653055,1e-15,0,0,0
727,1749064622.1367598,12,194.50987324988088,345.8221151688696,33.1200968086785,99.56076274546605,0.95,72.80000000000014,0,9,63.244185142612,0.36571656640693695,1e-15,0,0,0
727,1749064622.1367598,13,51.14292565310088,140.5359538827919,47.27755118147385,97.68928250629342,0.95,72.80000000000014,0,7,69.03242964267699,0.7281218949085241,1e-15,0,0,0
727,1749064622.1367598,14,199.61038860821904,458.51283147382895,38.85297230166852,100,0.95,72.80000000000014,0,8,69.80964068634475,0.5200053932353965,1e-15,0,0,0
727,1749064622.1367598,15,627.7951469900772,378.8888719705752,28.10259865754848,99.8624131761772,0.95,72.80000000000014,0,12,70.93122321225582,0.7097170157775627,1e-15,0,0,0
727,1749064622.1367598,16,470.89879587072494,265.33298349744746,19.902683471871484,100,0.95,72.80000000000014,0,12,63.585287511724786,0.5708157097867642,1e-15,0,0,0
727,1749064622.1367598,17,498.3922763931059,362.7989444334556,44.38487920262601,100,0.95,72.80000000000014,0,21,63.599888309236775,0.6967650020203981,1e-15,0,0,0
727,1749064622.1367598,18,399.46399930447006,582.4171548366667,41.22007190723768,100,0.95,72.80000000000014,0,2,66.02966553942485,0.5518512489536818,1e-15,0,0,0
727,1749064622.1367598,19,490.56523431192534,149.734190372789,39.61972805465995,100,0.95,72.80000000000014,0,11,66.68336542491144,0.7706233510124513,1e-15,0,0,0
727,1749064622.1367598,20,650.8004358093515,424.6241747025008,22.52886577670705,100,0.95,72.80000000000014,0,10,72.3835472862283,0.6532787055301033,1e-15,0,0,0
727,1749064622.1367598,21,644.0229826585786,93.60389796147224,32.65259830563075,98.5823918141763,0.95,72.80000000000014,0,10,71.250035705454,0.6538215863871468,1e-15,0,0,0
727,1749064622.1367598,22,545.2732517606175,389.5453312935568,48.319064792759576,99.91904092248065,0.95,72.80000000000014,0,15,66.45519303538558,0.5640223906658618,1e-15,0,0,0
727,1749064622.1367598,23,366.00506106799844,259.22329243121555,39.64720679550762,99.92191964241346,0.95,66.60000000000049,1,11,67.40602979212574,0.7813216230306761,1e-15,0,0,0
727,1749064622.1367598,24,212.96195778687553,216.15760924293173,12.144215192850066,100,0.95,65.90000000000053,1,14,72.05234940843756,0.7318771028781776,1e-15,0,0,0
727,1749064622.1367598,25,618.9619591818562,249.823398648786,42.950082011841836,100,0.95,65.80000000000054,1,10,69.3716806251455,0.6429372400167858,1e-15,0,0,0
727,1749064622.1367598,26,353.92180638681145,379.6552611357064,36.83322074980487,100,0.95,65.00000000000058,1,3,72.5747081253341,0.5087531306330764,1e-15,0,0,0
727,1749064622.1367598,27,367.37009137279625,70.16191900400464,37.31768069471019,100,0.95,64.90000000000059,0,15,72.61142940414648,0.46943983054988203,1e-15,0,0,0
727,1749064622.1367598,28,732.6603659977563,557.0857608233482,12.842169942511475,100,0.95,64.90000000000059,0,12,70.04066491540142,0.42946193869448673,1e-15,0,0,0
727,1749064622.1367598,29,398.90676783014396,308.96705124845226,35.28820940599521,100,0.95,64.90000000000059,0,8,72.40742528824045,0.7525826674692506,1e-15,0,0,0
727,1749064622.1367598,30,482.2126603424303,162.89120166822164,27.52152350404913,100,0.95,64.90000000000059,0,12,65.79776560760277,0.5310388668654007,1e-15,0,0,0
727,1749064622.1367598,31,25.96187169233503,528.9235557643294,25.65017359152936,99.84525474612205,0.95,64.90000000000059,0,7,68.48461556859269,0.649584437513306,1e-15,0,0,0
